S.NO,department,Location Of Job,University
948,Math,Quebec,yes
949,Math,Winnipeg,yes
950,astronomy,Edmonton,NO
951,Chemical,Edmonton,yes
952,Bio,Quebec,NO
953,Math,Hamilton,yes
954,Chemical,Winnipeg,NO
955,Bio,Hamilton,NO
956,Music,Vancour,NO
957,CS,Vancour,NO
958,Physics,Winnipeg,NO
959,Electrical,Calagary,NO
960,CS,Edmonton,yes
961,astronomy,Hamilton,NO
962,Music,Quebec,NO
963,Music,Kitchener,yes
964,Math,Kitchener,yes
965,Math,Calagary,NO
966,astronomy,Winnipeg,NO
967,Physics,Winnipeg,yes
968,Chemical,Hamilton,NO
969,CS,Ottawa,NO
970,Physics,Edmonton,yes
971,Bio,Kitchener,NO
972,Bio,Ottawa,NO
973,CS,Quebec,yes
974,Chemical,Vancour,yes
975,Math,Quebec,NO
976,CS,Hamilton,yes
977,Physics,Edmonton,yes
978,astronomy,Winnipeg,yes
979,astronomy,Quebec,NO
980,Physics,Vancour,NO
981,Music,Vancour,yes
982,Electrical,Vancour,NO
983,Electrical,Calagary,yes
984,astronomy,Edmonton,yes
985,astronomy,Vancour,yes
986,Chemical,Edmonton,yes
987,Music,Ottawa,NO
988,CS,Kitchener,NO
989,Music,Edmonton,yes
990,Physics,Ottawa,yes
991,CS,Calagary,yes
992,Physics,Kitchener,NO
993,astronomy,Quebec,NO
994,Physics,Hamilton,yes
995,Physics,Quebec,yes
996,Math,Quebec,NO
997,Electrical,Ottawa,yes
998,Music,Edmonton,yes
999,Bio,Calagary,NO
1000,Math,Hamilton,NO
